station_id,affected_line,tube_station_id,dist_m
60,bakerloo_line,9400ZZLUERB2,677.0835564607836
60,circle_line,940GZZLUERC,792.3803139029509
60,district_line,940GZZLUERC,792.3803139029509
60,hammersmith-city_line,940GZZLUERC,792.3803139029509
61,bakerloo_line,HUBEPH,746.2467088008176
61,northern_line,9400ZZLUBOR2,489.1465027437125
62,bakerloo_line,940GZZLUEAC,577.2592564364986
62,northern_line,9400ZZLUKNG1,260.24900181513704
63,northern_line,HUBOLD,547.6603681684246
64,bakerloo_line,9400ZZLUCHX2,162.9953719991533
64,circle_line,940GZZLUEMB,303.70736512090446
64,district_line,940GZZLUEMB,303.70736512090446
64,northern_line,9400ZZLUCHX5,93.57880615822641
64,piccadilly_line,9400ZZLULSQ4,311.3968742645243
65,circle_line,9400ZZLUESQ2,44.77882261293887
65,hammersmith-city_line,9400ZZLUESQ2,44.77882261293887
65,metropolitan_line,9400ZZLUESQ2,44.77882261293887
65,northern_line,9400ZZLUWRR1,205.3824045823142
65,piccadilly_line,9400ZZLURSQ1,771.8193277469887
65,victoria_line,940GZZLUWRR,218.9102555409865
66,central_line,940GZZLUCHL,205.13446667666116
66,circle_line,HUBZFD,354.2945873693509
66,district_line,940GZZLUBKF,788.1379343437844
66,hammersmith-city_line,HUBZFD,354.2945873693509
66,metropolitan_line,HUBZFD,354.2945873693509
67,central_line,940GZZLUCHL,254.2365549752826
67,circle_line,HUBZFD,257.2886654948401
67,hammersmith-city_line,HUBZFD,257.2886654948401
67,metropolitan_line,HUBZFD,257.2886654948401
68,central_line,9400ZZLUHBN2,370.7402686980498
68,piccadilly_line,9400ZZLUHBN3,414.68698083672183
69,circle_line,9400ZZLUESQ1,91.75823131216697
69,hammersmith-city_line,9400ZZLUESQ1,91.75823131216697
69,metropolitan_line,9400ZZLUESQ1,91.75823131216697
69,northern_line,HUBEUS,169.81439116212715
69,piccadilly_line,9400ZZLURSQ1,758.0263457285935
69,victoria_line,HUBEUS,169.81439116212715
70,circle_line,940GZZLUKSX,430.71709372398766
70,hammersmith-city_line,940GZZLUKSX,430.71709372398766
70,metropolitan_line,940GZZLUKSX,430.71709372398766
70,northern_line,9400ZZLUKSX5,337.4373931342856
70,piccadilly_line,9400ZZLUKSX7,410.7482675484261
70,victoria_line,9400ZZLUKSX2,369.09053750283965
71,central_line,9400ZZLUSPU2,122.083669268138
71,circle_line,9400ZZLUBKF2,516.1602925495166
71,district_line,9400ZZLUBKF2,516.1602925495166
71,hammersmith-city_line,940GZZLUBBN,518.1299142079223
71,metropolitan_line,940GZZLUBBN,518.1299142079223
71,northern_line,HUBBAN,792.4906715361699
71,waterloo-city_line,9400ZZLUBNK3,741.7657107650772
72,central_line,940GZZLUCHL,627.7976154620603
72,circle_line,9400ZZLUFCN1,414.10492990970954
72,hammersmith-city_line,9400ZZLUFCN1,414.10492990970954
72,metropolitan_line,9400ZZLUFCN1,414.10492990970954
73,circle_line,9400ZZLUMGT2,794.8971728202768
73,hammersmith-city_line,9400ZZLUMGT2,794.8971728202768
73,metropolitan_line,9400ZZLUMGT2,794.8971728202768
73,northern_line,HUBOLD,55.26110475122294
74,northern_line,9400ZZNEUGST,723.0817422321181
74,victoria_line,9400ZZLUVXL2,24.2127483845463
75,northern_line,9400ZZLUAGL1,48.885875412369515
76,bakerloo_line,940GZZLURGP,298.8821049871695
76,circle_line,9400ZZLUGPS1,194.67179398693557
76,hammersmith-city_line,9400ZZLUGPS1,194.67179398693557
76,metropolitan_line,9400ZZLUGPS1,194.67179398693557
76,northern_line,940GZZLUWRR,405.00804198738274
76,victoria_line,940GZZLUWRR,405.00804198738274
77,central_line,940GZZLUHBN,696.4486808513769
77,circle_line,9400ZZLUKSX8,718.0104480481564
77,hammersmith-city_line,9400ZZLUKSX8,718.0104480481564
77,metropolitan_line,9400ZZLUKSX8,718.0104480481564
77,northern_line,9400ZZLUEUS2,725.0097023550073
77,piccadilly_line,9400ZZLURSQ2,16.54695014156402
77,victoria_line,HUBEUS,741.1650362506291
78,circle_line,9400ZZLUBBN1,516.9396490862252
78,hammersmith-city_line,9400ZZLUBBN1,516.9396490862252
78,metropolitan_line,9400ZZLUBBN1,516.9396490862252
78,northern_line,HUBOLD,792.7311416565475
79,central_line,9400ZZLUCHL2,740.9175906183715
79,circle_line,940GZZLUTMP,84.82445771884267
79,district_line,940GZZLUTMP,84.82445771884267
79,northern_line,9400ZZLUEMB6,777.5960641964872
79,piccadilly_line,9400ZZLUCGN2,740.2262540365418
80,bakerloo_line,9400ZZLUEAC2,541.490496383212
80,jubilee_line,9400ZZLUSWK2,456.61141461058895
80,northern_line,9400ZZLUBOR2,588.599686828703
80,waterloo-city_line,9400ZZLUWLO5,778.5533902169733
81,bakerloo_line,9400ZZLURGP2,465.04073224624835
81,central_line,9400ZZLUOXC5,541.4356920283427
81,circle_line,9400ZZLUGPS2,439.7382218247844
81,hammersmith-city_line,9400ZZLUGPS2,439.7382218247844
81,metropolitan_line,9400ZZLUGPS2,439.7382218247844
81,northern_line,9400ZZLUGDG1,475.4743750038597
81,victoria_line,9400ZZLUWRR4,457.20636536231217
83,bakerloo_line,940GZZLUPCC,164.80549426001218
83,central_line,9400ZZLUTCR4,704.8297449159547
83,circle_line,940GZZLUEMB,676.0176107570157
83,district_line,940GZZLUEMB,676.0176107570157
83,jubilee_line,9400ZZLUGPK3,796.9335934867217
83,northern_line,940GZZLULSQ,288.5947670330487
83,piccadilly_line,940GZZLUPCC,164.80549426001218
84,central_line,940GZZLUCHL,257.2144297092184
84,circle_line,940GZZLUTMP,574.573636419017
84,district_line,940GZZLUTMP,574.573636419017
84,hammersmith-city_line,HUBZFD,665.3105408382398
84,metropolitan_line,HUBZFD,665.3105408382398
84,piccadilly_line,9400ZZLUHBN4,608.8045952314127
85,jubilee_line,HUBLBG,813.2650495749989
85,northern_line,HUBLBG,813.2650495749989
86,northern_line,940GZZLUKNG,649.0420650579139
86,victoria_line,HUBVXH,700.8190677611067
88,bakerloo_line,9400ZZLUOXC3,726.9155264737354
88,central_line,9400ZZLUTCR1,259.0892303169146
88,circle_line,9400ZZLUESQ2,798.5915824339978
88,hammersmith-city_line,9400ZZLUESQ2,798.5915824339978
88,metropolitan_line,9400ZZLUESQ2,798.5915824339978
88,northern_line,940GZZLUGDG,248.04902025236356
88,piccadilly_line,940GZZLURSQ,762.3176476071269
88,victoria_line,9400ZZLUOXC6,724.9590527747121
89,circle_line,9400ZZLUKSX8,403.96733728993627
89,hammersmith-city_line,9400ZZLUKSX8,403.96733728993627
89,metropolitan_line,9400ZZLUKSX8,403.96733728993627
89,northern_line,940GZZLUKSX,491.18680953962985
89,piccadilly_line,9400ZZLURSQ1,316.1759716129255
89,victoria_line,9400ZZLUKSX1,472.4659447763616
90,northern_line,9400ZZLUMTC1,157.5833599511501
90,victoria_line,940GZZLUEUS,671.2302425223196
91,bakerloo_line,9400ZZLULBN2,533.5184927037872
91,northern_line,9400ZZLUKNG1,688.8498903249767
92,bakerloo_line,9400ZZLUEAC2,340.05341493587537
92,jubilee_line,9400ZZLUSWK2,686.6055223039531
92,northern_line,9400ZZLUEAC3,426.2392960703433
93,northern_line,9400ZZLUAGL1,355.1109482538846
95,central_line,9400ZZLUSPU2,632.3437251879593
95,circle_line,9400ZZLUBBN1,71.68481578563882
95,hammersmith-city_line,9400ZZLUBBN1,71.68481578563882
95,metropolitan_line,9400ZZLUBBN1,71.68481578563882
95,northern_line,HUBZMG,664.0038460445202
97,circle_line,9400ZZLUGTR1,402.55247462214095
97,district_line,9400ZZLUGTR2,405.56651825389434
97,piccadilly_line,940GZZLUGTR,409.36789862457766
98,bakerloo_line,9400ZZLURGP1,617.8490263878347
98,circle_line,940GZZLUESQ,166.31720145023584
98,hammersmith-city_line,940GZZLUESQ,166.31720145023584
98,metropolitan_line,940GZZLUESQ,166.31720145023584
98,northern_line,940GZZLUWRR,66.01050748683802
98,victoria_line,940GZZLUWRR,66.01050748683802
101,central_line,HUBBAN,335.7828941908221
101,circle_line,940GZZLUMSH,96.98300557005372
101,district_line,940GZZLUMSH,96.98300557005372
101,jubilee_line,940GZZLULNB,706.9377724199494
101,northern_line,HUBBAN,335.7828941908221
101,waterloo-city_line,9400ZZLUBNK3,266.2845873432088
102,central_line,940GZZLULVT,624.4459961358862
102,circle_line,9400ZZLUALD3,119.28866419050324
102,district_line,940GZZLUADE,354.930600170557
102,hammersmith-city_line,940GZZLUADE,354.930600170557
102,metropolitan_line,9400ZZLUALD4,118.40827252983094
102,northern_line,9400ZZLUBNK5,771.919326716499
102,waterloo-city_line,9400ZZLUBNK8,799.058074258911
103,central_line,940GZZLUNHG,548.4787849240582
103,circle_line,940GZZLUHSK,408.2417260367903
103,district_line,940GZZLUHSK,408.2417260367903
104,central_line,940GZZLULVT,767.2629415692749
104,circle_line,940GZZLUTWH,184.80428395262572
104,district_line,940GZZLUTWH,184.80428395262572
104,hammersmith-city_line,940GZZLUADE,504.00742885705256
104,metropolitan_line,9400ZZLUALD4,296.6880604595494
104,northern_line,9400ZZLUBNK5,742.052288645675
104,waterloo-city_line,9400ZZLUBNK8,799.3826723395383
